id,server_id,start_time,end_time,reason,created_by_user_id
1,1,"2026-04-01 02:00:00","2026-04-01 04:00:00","Nginx version upgrade",1
2,2,"2026-04-05 02:00:00","2026-04-05 03:30:00","Apache config optimization",2
3,3,"2026-04-10 03:00:00","2026-04-10 05:00:00","MySQL minor patch",3
4,4,"2026-04-15 01:00:00","2026-04-15 04:00:00","PostgreSQL vacuum and reindex",4
5,5,"2026-04-20 02:30:00","2026-04-20 03:30:00","Redis memory tuning",5
6,6,"2026-04-25 03:00:00","2026-04-25 04:30:00","Memcached restart",6
7,7,"2026-05-01 02:00:00","2026-05-01 03:00:00","Prometheus retention update",7
8,8,"2026-05-05 02:00:00","2026-05-05 03:30:00","Grafana plugin update",8
9,9,"2026-05-10 01:30:00","2026-05-10 03:00:00","HAProxy certificate renewal",9
10,10,"2026-05-15 02:00:00","2026-05-15 03:00:00","Keepalived config sync",10
11,11,"2026-05-20 03:00:00","2026-05-20 04:00:00","Cache node OS patch",11
12,12,"2026-05-25 02:00:00","2026-05-25 05:00:00","Hardware diagnostics",12
13,13,"2026-05-30 01:00:00","2026-05-30 03:00:00","RabbitMQ cluster rebalance",13
14,14,"2026-06-01 02:30:00","2026-06-01 04:00:00","Kafka broker upgrade",14
15,15,"2026-06-02 03:00:00","2026-06-02 04:30:00","Logstash pipeline refactor",15
16,16,"2026-06-02 02:00:00","2026-06-02 05:00:00","Kibana index migration",16
17,17,"2026-06-03 01:00:00","2026-06-03 02:30:00","Bind9 zone update",17
18,18,"2026-06-03 02:00:00","2026-06-03 03:00:00","Unbound cache flush",18
19,19,"2026-06-04 03:00:00","2026-06-04 04:00:00","Backup script optimization",19
20,20,"2026-06-04 02:00:00","2026-06-04 03:30:00","Storage array firmware",20
21,21,"2026-06-04 01:30:00","2026-06-04 03:00:00","K8s control plane patch",21
22,22,"2026-06-05 02:00:00","2026-06-05 04:00:00","Etcd defragmentation",22
23,23,"2026-06-05 03:00:00","2026-06-05 04:30:00","Consul snapshot restore test",23
24,24,"2026-06-05 02:00:00","2026-06-05 03:00:00","Windows security update",24
25,25,"2026-06-05 01:00:00","2026-06-05 02:30:00","AD sync maintenance",25
26,26,"2026-06-10 02:30:00","2026-06-10 04:00:00","Edge router firmware",26
27,27,"2026-06-15 03:00:00","2026-06-15 05:00:00","Remote link diagnostics",27
28,28,"2026-06-20 02:00:00","2026-06-20 03:30:00","IoT gateway update",28
29,29,"2026-06-25 01:00:00","2026-06-25 02:00:00","QA environment reset",29
30,30,"2026-06-30 02:00:00","2026-06-30 04:00:00","Test data refresh",30
31,31,"2026-07-01 03:00:00","2026-07-01 04:30:00","Firewall rule audit",31
32,32,"2026-07-02 02:00:00","2026-07-02 03:00:00","IDS signature update",32
33,33,"2026-07-03 01:30:00","2026-07-03 03:00:00","IAM policy rotation",33
34,34,"2026-07-04 02:00:00","2026-07-04 03:30:00","Kerberos keytab renewal",34
35,35,"2026-07-05 03:00:00","2026-07-05 04:00:00","CI runner scaling test",35
36,36,"2026-07-06 02:00:00","2026-07-06 03:00:00","Artifact cleanup job",36
37,37,"2026-07-07 01:00:00","2026-07-07 02:30:00","SonarQube DB migration",37
38,38,"2026-07-08 02:30:00","2026-07-08 04:00:00","Jira index rebuild",38
39,39,"2026-07-09 03:00:00","2026-07-09 04:30:00","LB algorithm change",39
40,40,"2026-07-10 02:00:00","2026-07-10 03:00:00","VRRP priority adjustment",40
41,41,"2026-07-11 01:00:00","2026-07-11 03:00:00","Elastic cluster rolling restart",41
42,42,"2026-07-12 02:00:00","2026-07-12 03:30:00","Logstash filter update",42
43,43,"2026-07-13 03:00:00","2026-07-13 04:00:00","Kafka topic retention change",43
44,44,"2026-07-14 02:00:00","2026-07-14 03:00:00","RabbitMQ policy update",44
45,45,"2026-07-15 01:30:00","2026-07-15 03:00:00","Gluster volume expand",45
46,46,"2026-07-16 02:00:00","2026-07-16 04:00:00","NFS export refresh",46
47,47,"2026-07-17 03:00:00","2026-07-17 04:30:00","SNMP community rotation",47
48,48,"2026-07-18 02:00:00","2026-07-18 03:00:00","Syslog server migration",48
49,49,"2026-07-19 01:00:00","2026-07-19 02:30:00","NTP source update",49
50,50,"2026-07-20 02:00:00","2026-07-20 03:30:00","SMTP relay config change",50
