id,server_id,service_id,status,last_checked
1,1,1,"up","2026-03-10 12:00:00"
2,2,2,"up","2026-03-10 12:05:00"
3,3,3,"up","2026-03-10 12:10:00"
4,4,4,"down","2026-03-10 12:15:00"
5,5,5,"up","2026-03-10 12:20:00"
6,6,6,"degraded","2026-03-10 12:25:00"
7,7,12,"up","2026-03-10 12:30:00"
8,8,13,"up","2026-03-10 12:35:00"
9,9,14,"up","2026-03-10 12:40:00"
10,10,15,"up","2026-03-10 12:45:00"
11,11,5,"up","2026-03-10 12:50:00"
12,12,6,"down","2026-03-10 12:55:00"
13,13,7,"up","2026-03-10 13:00:00"
14,14,8,"up","2026-03-10 13:05:00"
15,15,10,"up","2026-03-10 13:10:00"
16,16,11,"down","2026-03-10 13:15:00"
17,17,16,"up","2026-03-10 13:20:00"
18,18,17,"up","2026-03-10 13:25:00"
19,19,38,"up","2026-03-10 13:30:00"
20,20,39,"up","2026-03-10 13:35:00"
21,21,20,"up","2026-03-10 13:40:00"
22,22,21,"up","2026-03-10 13:45:00"
23,23,22,"degraded","2026-03-10 13:50:00"
24,24,44,"up","2026-03-10 13:55:00"
25,25,45,"up","2026-03-10 14:00:00"
26,26,33,"up","2026-03-10 14:05:00"
27,27,34,"down","2026-03-10 14:10:00"
28,28,35,"up","2026-03-10 14:15:00"
29,29,24,"up","2026-03-10 14:20:00"
30,30,25,"down","2026-03-10 14:25:00"
31,31,23,"up","2026-03-10 14:30:00"
32,32,46,"up","2026-03-10 14:35:00"
33,33,44,"up","2026-03-10 14:40:00"
34,34,45,"up","2026-03-10 14:45:00"
35,35,24,"up","2026-03-10 14:50:00"
36,36,26,"up","2026-03-10 14:55:00"
37,37,27,"up","2026-03-10 15:00:00"
38,38,28,"up","2026-03-10 15:05:00"
39,39,14,"up","2026-03-10 15:10:00"
40,40,15,"degraded","2026-03-10 15:15:00"
41,41,9,"up","2026-03-10 15:20:00"
42,42,10,"up","2026-03-10 15:25:00"
43,43,8,"up","2026-03-10 15:30:00"
44,44,7,"up","2026-03-10 15:35:00"
45,45,41,"up","2026-03-10 15:40:00"
46,46,42,"down","2026-03-10 15:45:00"
47,47,47,"up","2026-03-10 15:50:00"
48,48,48,"up","2026-03-10 15:55:00"
49,49,31,"up","2026-03-10 16:00:00"
50,50,32,"up","2026-03-10 16:05:00"
